Key,ru,en
ReishukakuUnlock,Разблокировать Рейшукаку,Unlock Reishukaku
ReishukakuUp,Улучшить Рейшукаку,Upgrade Reishukaku
ReishukakuDes,Увеличивает защиту на 1.,Increases protection by 1.
ReishukakuUp1,Увеличивает защиту на 2.,Increases protection by 2.
ReishukakuUp2,Увеличивает защиту на 3.,Increases protection by 3.
ReishukakuUp3,Увеличивает защиту на 4.,Increases protection by 4.
ReishukakuUp4,Увеличивает защиту на 5.,Increases protection by 5.
HogyokuUnlock,Разблокировать Хогьёку,Unlock Hogyoku
HogyokuUp,Улучшить Хогьёку,Upgrade Hogyoku
HogyokuDes,Увеличивает размер атак на 7%.,Increases the size of attacks by 7%.
HogyokuUp1,Увеличивает размер атак на 14%.,Increases the size of attacks by 14%.
HogyokuUp2,Увеличивает размер атак на 21%.,Increases the size of attacks by 21%.
HogyokuUp3,Увеличивает размер атак на 28%.,Increases the size of attacks by 28%.
HogyokuUp4,Увеличивает размер атак на 35%.,Increases the size of attacks by 35%.
HaoriUnlock,Разблокировать Хаори,Unlock Haori
HaoriUp,Улучшить Хаори,Upgrade Haori
HaoriDes,Уменьшает перезарядку оружия на 4%.,Reduces weapon reloading by 4%.
HaoriUp1,Уменьшает перезарядку оружия на 8%.,Reduces weapon reloading by 8%.
HaoriUp2,Уменьшает перезарядку оружия на 12%.,Reduces weapon reloading by 12%.
HaoriUp3,Уменьшает перезарядку оружия на 16%.,Reduces weapon reloading by 16%.
HaoriUp4,Уменьшает перезарядку оружия на 20%.,Reduces weapon reloading by 20%.
HollowUnlock,Разблокировать Маску Пустого,Unlock Hollow Mask
HollowUp,Улучшить Маску Пустого,Upgrade Hollow Mask
HollowDes,Увеличивает наносимый урон на 8%.,Increases damage dealt by 8%.
HollowUp1,Увеличивает наносимый урон на 16%.,Increases damage dealt by 16%.
HollowUp2,Увеличивает наносимый урон на 24%.,Increases damage dealt by 24%.
HollowUp3,Увеличивает наносимый урон на 32%.,Increases damage dealt by 32%.
HollowUp4,Увеличивает наносимый урон на 40%.,Increases damage dealt by 40%.
TenshintaiUnlock,Разблокировать Теншинтай,Unlock Tenshintai
TenshintaiUp,Улучшить Теншинтай,Upgrade Tenshintai
TenshintaiDes,Продлевает эффект оружия на 5%.,Prolongs the effect of the weapon by 5%.
TenshintaiUp1,Продлевает эффект оружия на 10%.,Prolongs the effect of the weapon by 10%.
TenshintaiUp2,Продлевает эффект оружия на 15%.,Prolongs the effect of the weapon by 15%.
TenshintaiUp3,Продлевает эффект оружия на 20%.,Prolongs the effect of the weapon by 20%.
TenshintaiUp4,Продлевает эффект оружия на 25%.,Prolongs the effect of the weapon by 25%.
GokonUnlock,Разблокировать Гокон Текко,Unlock Gokon Tekko
GokonUp,Улучшить Гокон Текко,Upgrade Gokon Tekko
GokonDes,Персонаж получает на 10% больше опыта.,The character gets 10% more experience.
GokonUp1,Персонаж получает на 20% больше опыта.,The character gets 20% more experience.
GokonUp2,Персонаж получает на 30% больше опыта.,The character gets 30% more experience.
GokonUp3,Персонаж получает на 40% больше опыта.,The character gets 40% more experience.
GokonUp4,Персонаж получает на 50% больше опыта.,The character gets 50% more experience.
CookieUnlock,Разблокировать Печеньку,Unlock Cookie
CookieUp,Улучшить Печеньку,Upgrade Cookie
CookieDes,Увеличивает максимум ОЗ на 20%.,Increases the maximum HP by 20%.
CookieUp1,Увеличивает максимум ОЗ на 40%.,Increases the maximum HP by 40%.
CookieUp2,Увеличивает максимум ОЗ на 60%.,Increases the maximum HP by 60%.
CookieUp3,Увеличивает максимум ОЗ на 80%.,Increases the maximum HP by 80%.
CookieUp4,Увеличивает максимум ОЗ на 100%.,Increases the maximum HP by 100%.
CapeUnlock,Разблокировать Накидку,Unlock Cape
CapeUp,Улучшить Накидку,Upgrade Cape
CapeDes,Увеличивает скорость движения на 5%.,Increases movement speed by 5%.
CapeUp1,Увеличивает скорость движения на 10%.,Increases movement speed by 10%.
CapeUp2,Увеличивает скорость движения на 15%.,Increases movement speed by 15%.
CapeUp3,Увеличивает скорость движения на 20%.,Increases movement speed by 20%.
CapeUp4,Увеличивает скорость движения на 25%.,Increases movement speed by 25%.
