Key,ru,en,tr
ReishukakuUnlock,Разблокировать Рейшукаку,Unlock Reishukaku,Reishukaku'nun kilidini Aç
ReishukakuUp,Улучшить Рейшукаку,Upgrade Reishukaku,Reishukaku'yu Yükseltin
ReishukakuDes,Уменьшает входящий урон на 8%.,Reduces incoming damage by 8%.,Gelen hasarı% 8 azaltır.
ReishukakuUp1,Уменьшает входящий урон на 16%.,Reduces incoming damage by 16%.,Gelen hasarı% 16 azaltır.
ReishukakuUp2,Уменьшает входящий урон на 24%.,Reduces incoming damage by 24%.,Gelen hasarı% 24 azaltır.
ReishukakuUp3,Уменьшает входящий урон на 32%.,Reduces incoming damage by 32%.,Gelen hasarı% 32 azaltır.
ReishukakuUp4,Уменьшает входящий урон на 40%.,Reduces incoming damage by 40%.,Gelen hasarı% 40 azaltır.
HogyokuUnlock,Разблокировать Хогьёку,Unlock Hogyoku,Hogyoku'nun kilidini Aç
HogyokuUp,Улучшить Хогьёку,Upgrade Hogyoku,Hogyoku'yu Yükseltin
HogyokuDes,Увеличивает размер атак на 7%.,Increases the size of attacks by 7%.,Saldırıların boyutunu% 7 artırır.
HogyokuUp1,Увеличивает размер атак на 14%.,Increases the size of attacks by 14%.,Saldırıların boyutunu% 14 artırır.
HogyokuUp2,Увеличивает размер атак на 21%.,Increases the size of attacks by 21%.,Saldırıların boyutunu% 21 artırır.
HogyokuUp3,Увеличивает размер атак на 28%.,Increases the size of attacks by 28%.,Saldırıların boyutunu% 28 artırır.
HogyokuUp4,Увеличивает размер атак на 35%.,Increases the size of attacks by 35%.,Saldırıların boyutunu% 35 artırır.
HaoriUnlock,Разблокировать Хаори,Unlock Haori,Haori'nin kilidini Aç
HaoriUp,Улучшить Хаори,Upgrade Haori,Haori'yi Yükseltin
HaoriDes,Уменьшает перезарядку оружия на 4%.,Reduces weapon reloading by 4%.,Silahın yeniden yüklenmesini% 4 azaltır.
HaoriUp1,Уменьшает перезарядку оружия на 8%.,Reduces weapon reloading by 8%.,Silahın yeniden yüklenmesini% 8 azaltır.
HaoriUp2,Уменьшает перезарядку оружия на 12%.,Reduces weapon reloading by 12%.,Silahın yeniden yüklenmesini% 12 azaltır.
HaoriUp3,Уменьшает перезарядку оружия на 16%.,Reduces weapon reloading by 16%.,Silahın yeniden yüklenmesini% 16 azaltır.
