Key,ru,en
Survive,Живучесть,Survivability
Recovery,Регенерация,Regeneration
Exp,Развитие,Development
Gold,Жадность,Greed
Reroll,Повтор,Reroll
Armor,Броня,Armor
Speed,Передвижение,Movement
Damage,Урон,Damage
AttackSpeed,Скорость Атаки,Attack Speed
Radius,Радиус,Radius
Duration,Длительность,Duration
ProjectSpeed,Ускорение,Acceleration
ProjectCount,Боезапас,Ammunition
desDamage,Увеличивает наносимый урон на 6% с каждым рангом.,Increases damage dealt by 6% with each rank.
desArmor,Увеличивает защиту на 1 за каждый ранг.,Increases defense by 1 for each rank.
desProjectCount,Выпускает на 1 снаряд больше.,Releases 1 more projectile.
desExp,Персонаж получает на 5% опыта больше за каждый ранг.,The character gets 5% more experience for each rank.
desGold,Персонаж получает на 5% больше золота за каждый ранг.,The character gets 5% more gold for each rank.
desSurvivability,Увеличивает максимум ОЗ на 10% за каждый ранг.,Increases the maximum HP by 10% for each rank.
desSpeed,Увеличивает скорость движения на 5% с каждым рангом.,Increases movement speed by 5% with each rank.
desRadius,Увеличивает размер атак на 5% за ранг.,Increases the size of attacks by 5% per rank.
desRecovery,Восстанавливает 1 ОЗ/секунду за каждый ранг.,Recovers 1 HP/second for each rank.
desProjectSpeed,Увеличивает скорость снарядов на 5% за каждый ранг.,Increases projectile speed by 5% for each rank.
desDuration,Продлевает эффект оружия на 3% за ранг.,Extends weapon effect by 3% per rank.
desAttackSpeed,Уменьшает перезарядку оружия на 2% за ранг.,Reduces weapon reload by 2% per rank.
desReroll,Один раз за ранг позволяет обновить выбор предметов при повышении уровня.,Once per rank allows you to update the selection of items as you level up.
