Key,ru,en,tr
Cero,Серо,Cero,Cero
CeroDes,Выстреливает концентрированную духовную энергию в виде луча.,Shoots concentrated spiritual energy in the form of a ray.,Konsantre ruhsal enerjiyi ışın şeklinde vurur.
CeroUnlock,Разблокировать Серо,Unlock Cero,Cero'nun Kilidini Aç
CeroUp,Улучшить Серо,Upgrade Cero,Cero'yu Yükseltin
Hyourinmaru,Дайгурен Хёринмару,Daiguren Hyourinmaru,Daiguren Hyourinmaru'nun
HyourinmaruDes,Разбрасывает по округe ледяные шипы отталкивающие врагов.,It scatters ice spikes around the area that repel enemies.,Düşmanları iten alanın etrafına buz sivri uçları saçar.
HyourinmaruUnlock,Разблокировать Хёринмару,Unlock Daiguren Hyourinmaru,Daiguren Hyourinmaru'nun kilidini aç
HyourinmaruUp,Улучшить Хёринмару,Upgrade Daiguren Hyourinmaru,Daiguren Hyourinmaru'yu yükseltin
Kunai,Кунай,Kunai,Kunai
KunaiDes,Бросает кунай в случайную цель.,Throws a kunai at a random target.,Rastgele bir hedefe kunai atar.
KunaiUnlock,Разблокировать кунай,Unlock Kunai,Kunai'nin kilidini Aç
KunaiUp,Улучшить Кунай,Upgrade Kunai,Kunai'yi Yükseltin
Lightning,Удар Молнии,Thunderbolt,Yıldırım
LightningDes,Высвобождает силу природы нанося сокрушительные удары молнией на поле боя.,Unleashes the power of nature by delivering devastating lightning strikes on the battlefield.,Savaş alanında yıkıcı yıldırım çarpmaları yaparak doğanın gücünü açığa çıkarır.
LightningUnlock,Разблокировать Удар Молнии,Unlock Thunderbolt,Thunderbolt'un kilidini Aç
LightningUp,Улучшить Удар Молнии,Upgrade Thunderbolt,Thunderbolt'u Yükseltme
Zangetsu,Тенса Зангетсу,Tensa Zangetsu,Tensa Zangetsu'nun
ZangetsuDes,"Выпускает сгусток энергии принимающий форму полумесяца, способен поразить множество целей.","Releases a clot of energy taking the form of a crescent moon, capable of hitting many targets.","Birçok hedefi vurabilen, hilal şeklinde bir enerji pıhtısı salgılar."
ZangetsuUnlock,Разблокировать Зангетсу,Unlock Tensa Zangetsu,Tensa Zangetsu'nun kilidini Aç
ZangetsuUp,Улучшить Зангетсу,Upgrade Tensa Zangetsu,Tensa Zangetsu'yu Yükseltin
Tobiume,Тобиуме,Tobiume,Tobiume'nin
TobiumeDes,Выпускает огненный шар в рандомном направлении.,Releases a fireball in a random direction.,Bir ateş topunu rastgele bir yönde serbest bırakır.
TobiumeUnlock,Разблокировать Тобиуме,Unlock Tobiume,Tobiume'un kilidini Aç
TobiumeUp,Улучшить Тобиуме,Upgrade Tobiume,Tobiume'u Yükseltin
Soten,Сюн Сюн Рикка,Shun Shun Rikka,Shun Shun Rikka
SotenDes,Выпускает духа летающего на поле боя.,Releases the spirit flying on the battlefield.,Savaş alanında uçan ruhu serbest bırakır.
SotenUnlock,Разблокировать Сюн Сюн Рикка,Unlock Shun Shun Rikka,Shun Shun Rikka'nın kilidini Aç
SotenUp,Улучшить Сюн Сюн Рикка,Upgrade Shun Shun Rikka,Shun Shun Rikka'yı Yükseltin
Senbonzakura,Сенбонзакура Кагейоши,Senbonzakura Kageyoshi,Senbonzakura Kageyoshi'nin
SenbonzakuraDes,Распадается на тысячу лепестков сакуры которые летают вокруг владельца.,It breaks up into a thousand sakura petals that fly around the owner.,Sahibinin etrafında uçan bin sakura yaprağına ayrılır.
SenbonzakuraUnlock,Разблокировать Сенбонзакуру,Unlock Senbonzakura Kageyoshi,Senbonzakura Kageyoshi'nin kilidini Aç
SenbonzakuraUp,Улучшить Сенбонзакуру,Upgrade Senbonzakura Kageyoshi,Senbonzakura Kageyoshi'yi Yükseltin
Ryujin,Рюджин Джакка,Ryujin Jakka,Ryujin Jakka'nın
RyujinDes,Поджигает всех врагов в области поражения.,Sets fire to all enemies in the affected area.,Etkilenen bölgedeki tüm düşmanları ateşe verir.
RyujinUnlock,Разблокировать Рюджин Джакку,Unlock Ryujin Jakka,Ryujin Jakka'nın kilidini Aç
RyujinUp,Улучшить Рюджин Джакку,Upgrade Ryujin Jakka,Ryujin Jakka'yı Yükseltin
Pressure,Духовное Давление,Spiritual Pressure,Manevi Baskı
PressureDes,Благодаря огромной духовной силе наносит постоянный урон врагам в небольшой области.,"Due to its enormous spiritual power, it deals permanent damage to enemies in a small area.",Muazzam manevi gücü nedeniyle küçük bir alanda düşmanlara kalıcı hasar verir.
PressureUnlock,Разблокировать Духовное Давление,Unlock Spiritual Pressure,Ruhsal Baskının Kilidini Açın
PressureUp,Улучшить Духовное Давление,Upgrade Spiritual Pressure,Ruhsal Baskıyı Yükseltin
