Key,ru,en,tr
ZangetsuUp1,"Уменьшает перезарядку на 0.5 секунды.
+2 к базовому урону.","Reduces cooldown by 0.5 seconds.
+2 to base damage.","Bekleme süresini 0,5 saniye azaltır.
temel hasara +2."
ZangetsuUp2,"Проходит сквозь ещё 4 врага.
+2 к базовому урону.","Passes through 4 more enemies.
+2 to base damage.","4 düşmandan daha geçer.
temel hasara +2."
ZangetsuUp3,"Уменьшает перезарядку на 0.5 секунды.
+2 к базовому урону.","Reduces cooldown by 0.5 seconds.
+2 to base damage.","Bekleme süresini 0,5 saniye azaltır.
temel hasara +2."
ZangetsuUp4,"+30% к базовой скорости.
+3 к базовому урону.","+30% to base speed.
+3 to base damage.","taban hızına +% 30.
temel hasara +3."
ZangetsuUp5,"Гетсуга позволяет отталкивать врагов.
+3 к базовому урону.","Getsuga allows you to repel enemies.
+3 to base damage.","Getsuga düşmanları kovmana izin veriyor.
temel hasara +3."
ZangetsuUp6,"+50% к базовой области.
+6 к базовому урону.","+50% to base area.
+6 to base damage.","taban alanına +% 50.
temel hasara +6."
TobiumeUp1,"Выпускает дополнительные снаряды: 1.
+5 к базовому урону.","Fires additional projectiles: 1.
+5 to base damage.","Ek mermileri ateşler: 1.
temel hasara +5."
TobiumeUp2,"+40% к базовой скорости.
+5 к базовому урону.","+40% to base speed.
+5 to base damage.","taban hızına +% 40.
temel hasara +5."
TobiumeUp3,"+30% к базовой области.
+5 к базовому урону.","+30% to base area.
+5 to base damage.","taban alanına +% 30.
temel hasara +5."
TobiumeUp4,"Уменьшает перезарядку на 0.5 секунды.
+5 к базовому урону.","Reduces cooldown by 0.5 seconds.
+5 to base damage.","Bekleme süresini 0,5 saniye azaltır.
temel hasara +5."
TobiumeUp5,"Продлевает длительность поджёга на 1.1 секунды.
+5 к урону от поджёга.","Extends arson duration by 1.1 seconds.
+5 to arson damage.","Kundaklama süresini 1,1 saniye uzatır.
kundaklama hasarına +5."
TobiumeUp6,"Выпускает дополнительные снаряды: 2.
+10 к базовому урону.","Fires additional projectiles: 2.
+10 to base damage.","Ek mermileri ateşler: 2.
temel hasara +10."
SotenUp1,"50% к базовой скорости.
+2 к базовому урону.","+50% to base speed.
+2 to base damage.","taban hızına +% 50.
temel hasara +2."
SotenUp2,"Уменьшает перезарядку на 0.9 секунды.
+2 к базовому урону.","Reduces cooldown by 0.9 seconds.
+2 to base damage.","Bekleme süresini 0,9 saniye azaltır.
temel hasara +2."
SotenUp3,"50% к базовой скорости.
+2 к базовому урону.","+50% to base speed.
+2 to base damage.","taban hızına +% 50.
temel hasara +2."
SotenUp4,"Продлевает время действия на 2 секунды.
+4 к базовому урону.","Extends the action time by 2 seconds.
+4 to base damage.","Eylem süresini 2 saniye uzatır.
+4 temel hasara."
SotenUp5,"Уменьшает перезарядку на 0.9 секунды.
+4 к базовому урону.","Reduces cooldown by 0.9 seconds.
+4 to base damage.","Bekleme süresini 0,9 saniye azaltır.
+4 temel hasara."
SotenUp6,"Продлевает время действия на 2 секунды.
+4 к базовому урону.","Extends the action time by 2 seconds.
+4 to base damage.","Eylem süresini 2 saniye uzatır.
+4 temel hasara."
SenbonzakuraUp1,"Уменьшает перезарядку на 0,3 секунды.
+1 к базовому урону.","Reduces cooldown by 0,3 seconds.
+1 to base damage.","Bekleme süresini 0,3 saniye azaltır.
temel hasara +1."
SenbonzakuraUp2,"Сенбонзакура позволяет отталкивать врагов.
Продлевает время действия на 0.25 секунды.","Senbonzakura allows you to repel enemies.
Extends the action time by 0.25 seconds.","Senbonzakura düşmanları püskürtmenize izin veriyor.
Eylem süresini 0,25 saniye uzatır."
SenbonzakuraUp3,"Уменьшает перезарядку на 0,3 секунды.
Продлевает время действия на 0.25 секунды.","Reduces cooldown by 0,3 seconds.
Extends the action time by 0.25 seconds.","Bekleme süresini 0,3 saniye azaltır.
Eylem süresini 0,25 saniye uzatır."
SenbonzakuraUp4,"Продлевает время действия на 0.25 секунды.
+10% к базовой области.","Extends the action time by 0.25 seconds.
+10% to base area.","Eylem süresini 0,25 saniye uzatır.
taban alanına +% 10."
SenbonzakuraUp5,"Уменьшает перезарядку на 0,3 секунды.
+20% к базовой области.","Reduces cooldown by 0,3 seconds.
+20% to base area.","Bekleme süresini 0,3 saniye azaltır.
taban alanına +% 20."
SenbonzakuraUp6,"+20% к базовой области.
+2 к базовому урону.","+20% to base area.
+2 to base damage.","taban alanına +% 20.
temel hasara +2."
RyujinUp1,"+50% к базовой области.
+2 к базовому урону.","+50% to base area.
+2 to base damage.","taban alanına +% 50.
temel hasara +2."
