Key,ru,en
Cero,Серо,Cero
CeroDes,Выстреливает концентрированную духовную энергию в виде луча.,Shoots concentrated spiritual energy in the form of a ray.
CeroUnlock,Разблокировать Серо,Unlock Cero
CeroUp,Улучшить Серо,Upgrade Cero
CeroUp1,Увеличивает урон от Серо на 33%.,Increases Cero Damage by 33%.
CeroUp2,Серо позволяет отталкивать врагов.,Сero begins to repel enemies.
CeroUp3,Увеличивает скорость вращения Серо на 20% и его урон на 15%.,Increases Cero spin speed by 20% and his damage by 15%
CeroUp4,Сокращает время до повторной активации Серо на 10%.,Reduces the time to reactivate the Cero by 10%.
CeroUp5,Увеличивает продолжительность действия Серо на 20%.,Increases the duration of the action of Cero by 20%.
CeroUp6,Увеличивает продолжительность действия Серо на 10% и его урон на 15%.,Increases the duration of the action of the Cero by 10% and its damage by 15%.
CeroUp7,Увеличивает скорость вращения Серо на 40%.,Increases the rotation speed of the Cero by 40%.
