Key,ru,en
Hyourinmaru,Дайгурен Хёринмару,Daiguren Hyourinmaru
HyourinmaruDes,Замораживает влагу вокруг создавая ледяные шипы отталкивающие врагов.,Freezes moisture around creating ice spikes that repel enemies.
HyourinmaruUnlock,Разблокировать Хёринмару,Unlock Daiguren Hyourinmaru
HyourinmaruUp,Улучшить Хёринмару,Upgrade Daiguren Hyourinmaru
HyourinmaruUp1,Увеличивает урон от ледяных шипов на 30%.,Increases damage from ice spikes by 30%.
HyourinmaruUp2,Увеличивает размер ледяных шипов на 20%.,Increases the size of ice spikes by 20%.
HyourinmaruUp3,Увеличивает размер ледяных шипов на 10% и их урон на 15%.,Increases the size of ice spikes by 10% and their damage by 15%.
HyourinmaruUp4,Создаёт 2 дополнительных ледяных шипа.,Creates 2 additional ice spikes.
HyourinmaruUp5,Создаёт дополнительный ледяной шип и увеличивает урон от ледяных шипов на 15%.,Creates an additional ice spike and increases the damage from ice spikes by 15%.
HyourinmaruUp6,Сокращает время до повторного использования на 20%.,Reduces the time to reuse by 20%.
HyourinmaruUp7,Сокращает время до повторного использования на 10% и увеличивает базовый урон на 15%.,Reduces time to reuse by 10% and increases base damage by 15%.
