Key,ru,en
Kunai,Кунай,Kunai
KunaiDes,Бросает кунай в направлении движения.,Throws the kunai in the direction of movement.
KunaiUnlock,Разблокировать кунай,Unlock Kunai
KunaiUp,Улучшить Кунай,Upgrade Kunai
KunaiUp1,Добавляет 2 куная и увеличивает их урон на 25%.,Adds 2 kunai and increases their damage by 25%.
KunaiUp2,Добавляет 3 куная.,Adds 2 kunai.
KunaiUp3,Улучшает проникающую способность куная на 3.,Improves the penetrating ability of kunai by 3.
KunaiUp4,Увеличивает скорость полёта кунаев их урон на 25%.,Increases the flight speed of the Kunai and their damage by 25%.
KunaiUp5,Сокращает время до использования куная на 20%.,Reduces the time before using the kunai by 20%.
KunaiUp6,Добавляет ещё один кунай и улучшает его проникающую способность на 1.,Adds another kunai and improves its penetrating power by 1.
KunaiUp7,Увеличивает размер кунаев на 15% и их урон на 25%.,Increases the size of kunai by 15% and their damage by 25%.
