Key,ru,en
Lightning,Удар Молнии,Thunderbolt
LightningDes,Высвобождает силу природы нанося сокрушительные удары молнией на поле боя.,Unleashes the power of nature by delivering devastating lightning strikes on the battlefield.
LightningUnlock,Разблокировать Удар Молнии,Unlock Thunderbolt
LightningUp,Улучшить Удар Молнии,Upgrade Thunderbolt
LightningUp1,Увеличивает урон от молний на 20%.,Increases lightning damage by 20%.
LightningUp2,Увеличивает область поражения молний на 10%.,Increases the area of lightning damage by 10%.
LightningUp3,Призывает дополнительно 2 молнии.,Summons an additional 2 lightning.
LightningUp4,Призывает дополнительно 1 молнию и сокращает время до повторной активации на 10%.,Summons an additional 1 lightning bolt and reduces the time to reactivate by 10%.
LightningUp5,Сокращает время до повторной активации на 20%.,Reduces the time to reactivation by 20%.
LightningUp6,Молнии начинают оглушать врагов.,Lightning starts stun enemies.
LightningUp7,Призывает дополнительно 1 молнию и увеличивает урон от молний 20%.,Summons an additional 1 lightning bolt and increases lightning damage by 20%.
