Key,ru,en
Pressure,Духовное Давление,Spiritual Pressure
PressureDes,Благодаря огромной духовной силе наносит постоянный урон врагам в небольшой области.,"Due to its enormous spiritual power, it deals permanent damage to enemies in a small area."
PressureUnlock,Разблокировать Духовное Давление,Unlock Spiritual Pressure
PressureUp,Улучшить Духовное Давление,Upgrade Spiritual Pressure
PressureUp1,Увеличивает область поражения на 33%.,Increases the affected area by 50%.
PressureUp2,Увеличивает область поражения на 15% и базовый урон на 25%,Increases the damage area by 30% and base damage by 1 unit.
PressureUp3,Увеличивает урон от духовного давления на 50%,Increases base damage by 3 units.
PressureUp4,Получая урон от духовного давления враги впадают в короткое оцепенение.,"Taking damage from spiritual pressure, enemies fall into a short stupor."
PressureUp5,Увеличивает урон от духовного давления на 50%,Increases base damage by 3 units.
PressureUp6,Увеличивает область поражения духовного давления на 15% и его урон на 25%,Increases the damage area by 10% and base damage by 2 units.
PressureUp7,Увеличивает область поражения на 40%.,Increases the affected area by 40%.
