Key,ru,en
Tobiume,Тобиуме,Tobiume
TobiumeDes,Выпускает огненный шар в рандомном направлении.,Releases a fireball in a random direction.
TobiumeUnlock,Разблокировать Тобиуме,Unlock Tobiume
TobiumeUp,Улучшить Тобиуме,Upgrade Tobiume
TobiumeUp1,Увеличивает продолжительность горения на 1 секунду.,Increases the duration of gorenje by 1 second.
TobiumeUp2,Увеличивает силу горения на 3 единицы.,Increases gorenje's burning power by 3 units.
TobiumeUp3,Увеличивает размер огненного шара на 30%.,Increases the size of the fireball by 30%.
TobiumeUp4,Сокращает время до повторной активации на 20%.,Reduces the time to reactivation by 20%.
TobiumeUp5,Увеличивает базовый урон от огненного шара на 10 единиц.,Increases the base damage from the fireball by 10 units.
TobiumeUp6,Выпускает 2 дополнительных огненных шара.,Releases 2 additional fireballs.
TobiumeUp7,Выпускает дополнительный огненный шар и позволяет поразить больше врагов.,Releases an additional fireball and allows you to hit more enemies.
