Key,ru,en
Zangetsu,Тенса Зангетсу,Tensa Zangetsu
ZangetsuDes,"Выпускает сгусток энергии принимающий форму полумесяца, способен поразить множество целей.","Releases a clot of energy taking the form of a crescent moon, capable of hitting many targets."
ZangetsuUnlock,Разблокировать Зангетсу,Unlock Tensa Zangetsu
ZangetsuUp,Улучшить Зангетсу,Upgrade Tensa Zangetsu
ZangetsuUp1,Увеличивает базовый урон от гетсуги на 4 единицы.,Increases the base damage from getsuga by 4 units.
ZangetsuUp2,Увеличивает размер гетсуги на 10% и её базовый урон на 2 единицы.,Increases the size of the getsuga by 10% and its base damage by 2 units.
ZangetsuUp3,Увеличивает размер гетсуги на 20%.,Increases the size of the getsuga by 20%.
ZangetsuUp4,Сокращает время до повторного использования гетсуги на 25%.,Reduces the time to reuse getsuga by 25%.
ZangetsuUp5,Сокращает время до повторного использования гетсуги на 10% и её базовый урон на 2 единицы.,Reduces the time to reuse the getsuga by 10% and its base damage by 2 units.
ZangetsuUp6,Гетсуга начинает отталкивать врагов.,Getsuga begins to repel enemies.
ZangetsuUp7,Улучшает пробивание гетсуги на 10 единиц.,Improves the penetration of getsuga by 10 units.
